Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Continent,Automatic / Manual,A / M digital
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12.0,AS8,Z,19.2,12.4,16.1,18.0,373.0,Europe,A,1
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12.0,AM8,Z,19.2,12.2,16.0,18.0,373.0,Europe,A,1
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12.0,AM8,Z,19.2,12.2,16.0,18.0,373.0,Europe,A,1
LEXUS,LX 570,SUV - STANDARD,5.7,8.0,AS8,Z,18.2,13.0,15.8,18.0,372.0,Asia,A,1
LEXUS,LX 570,SUV - STANDARD,5.7,8.0,AS8,Z,18.3,12.9,15.9,18.0,371.0,Asia,A,1
LEXUS,LX 570,SUV - STANDARD,5.7,8.0,AS8,Z,18.2,12.8,15.8,18.0,371.0,Asia,A,1
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,17.7,13.6,15.9,18.0,371.0,Asia,A,1
BMW,X6 M,SUV - STANDARD,4.4,8.0,A6,Z,18.1,13.7,16.1,18.0,370.0,Europe,A,1
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8.0,A5,X,18.4,13.3,16.1,18.0,370.0,Asia,A,1
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12.0,AS8,Z,19.2,12.4,16.1,18.0,370.0,Europe,A,1
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12.0,AS8,Z,19.2,12.4,16.1,18.0,370.0,Europe,A,1
JEEP,GRAND CHEROKEE SRT 4X4 (MDS),SUV - STANDARD,6.4,8.0,A8,Z,18.5,12.6,15.8,18.0,370.0,America,A,1
BENTLEY,BENTAYGA,SUV - STANDARD,6.0,12.0,AS8,Z,18.8,12.2,15.9,18.0,370.0,Europe,A,1
LAMBORGHINI,HURACAN COUPE AWD,TWO-SEATER,5.2,10.0,AM7,Z,17.9,13.0,15.7,18.0,370.0,Europe,A,1
LAMBORGHINI,HURACAN SPYDER AWD,TWO-SEATER,5.2,10.0,AM7,Z,17.9,13.0,15.7,18.0,370.0,Europe,A,1
LAMBORGHINI,HURACAN PERFORMANTE COUPE,TWO-SEATER,5.2,10.0,AM7,Z,17.9,13.0,15.7,18.0,370.0,Europe,A,1
LAMBORGHINI,HURACAN PERFORMANTE SPYDER,TWO-SEATER,5.2,10.0,AM7,Z,17.9,13.0,15.7,18.0,370.0,Europe,A,1
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,4.7,8.0,A7,Z,17.7,13.4,15.8,18.0,370.0,Europe,A,1
MERCEDES-BENZ,AMG GLS 63 4MATIC,SUV - STANDARD,4.7,8.0,A7,Z,17.8,13.2,15.7,18.0,370.0,Europe,A,1
LAMBORGHINI,HURACAN COUPE,TWO-SEATER,5.2,10.0,AM7,Z,18.0,12.9,15.7,18.0,370.0,Europe,A,1
LAMBORGHINI,HURACAN COUPE AWD,TWO-SEATER,5.2,10.0,AM7,Z,18.0,12.9,15.7,18.0,370.0,Europe,A,1
LAMBORGHINI,HURACAN SPYDER,TWO-SEATER,5.2,10.0,AM7,Z,18.0,12.9,15.7,18.0,370.0,Europe,A,1
LAMBORGHINI,HURACAN SPYDER AWD,TWO-SEATER,5.2,10.0,AM7,Z,18.0,12.9,15.7,18.0,370.0,Europe,A,1
MERCEDES-BENZ,AMG GL 63 S,SUV - STANDARD,5.5,8.0,AS7,Z,18.2,14.0,16.3,17.0,369.0,Europe,A,1
MERCEDES-BENZ,AMG GLS 63,SUV - STANDARD,5.5,8.0,AS7,Z,18.2,14.0,16.3,17.0,369.0,Europe,A,1
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8.0,A4,E,25.5,20.0,23.0,12.0,368.0,America,A,1
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8.0,A6,X,18.2,13.3,16.0,18.0,368.0,America,A,1
LINCOLN,NAVIGATOR 4X4 FFV,SUV - STANDARD,5.4,8.0,A6,X,18.2,13.3,16.0,18.0,368.0,America,A,1
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12.0,A8,Z,19.1,12.3,16.0,18.0,368.0,Europe,A,1
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12.0,A8,Z,19.1,12.3,16.0,18.0,368.0,Europe,A,1
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12.0,AS8,Z,19.6,11.7,16.0,18.0,368.0,Europe,A,1
JEEP,GRAND CHEROKEE SRT8,SUV - STANDARD,6.4,8.0,A8,Z,18.3,12.6,15.7,18.0,368.0,America,A,1
JEEP,GRAND CHEROKEE 4X4 SRT,SUV - STANDARD,6.4,8.0,A8,Z,18.3,12.6,15.7,18.0,368.0,America,A,1
CHEVROLET,CORVETTE ZR1,TWO-SEATER,6.2,8.0,M7,Z,18.2,12.5,15.6,18.0,368.0,America,M,0
DODGE,CHARGER SRT HELLCAT WIDEBODY,FULL-SIZE,6.2,8.0,A8,Z,19.0,11.5,15.6,18.0,368.0,America,A,1
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,AS8,Z,18.8,11.8,15.6,18.0,367.0,Europe,A,1
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8.0,AS10,Z,19.0,11.6,15.6,18.0,367.0,America,A,1
MERCEDES-BENZ,AMG GLS 63 4MATIC,SUV - STANDARD,5.5,8.0,A7,Z,17.6,13.3,15.7,18.0,367.0,Europe,A,1
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8.0,A4,X,18.0,13.4,15.9,18.0,366.0,America,A,1
FORD,F-150,PICKUP TRUCK - STANDARD,6.2,8.0,AS6,X,18.3,12.9,15.9,18.0,366.0,America,A,1
GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8.0,A4,X,18.0,13.4,15.9,18.0,366.0,America,A,1
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,5.5,8.0,AS7,Z,17.3,13.5,15.6,18.0,366.0,Europe,A,1
LAMBORGHINI,HURACAN COUPE,TWO-SEATER,5.2,10.0,AM7,Z,18.1,13.2,15.9,18.0,366.0,Europe,A,1
LAMBORGHINI,HURACAN SPYDER,TWO-SEATER,5.2,10.0,AM7,Z,18.1,13.2,15.9,18.0,366.0,Europe,A,1
ASTON MARTIN,DB9 GT,MINICOMPACT,5.9,12.0,A6,Z,18.0,12.6,15.6,18.0,365.0,Europe,A,1
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8.0,AS7,Z,17.5,13.1,15.5,18.0,365.0,Europe,A,1
MERCEDES-BENZ,AMG S 65 COUPE,COMPACT,6.0,12.0,AS7,Z,18.7,11.6,15.5,18.0,365.0,Europe,A,1
LAND ROVER,RANGE ROVER SVAUTOBIOGRAPHY LWB,SUV - STANDARD,5.0,8.0,AS8,Z,17.9,12.7,15.5,18.0,365.0,Europe,A,1
DODGE,VIPER SRT,TWO-SEATER,8.4,10.0,M6,Z,19.2,11.3,15.6,18.0,364.0,America,M,0
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,5.5,8.0,A7,Z,17.2,13.4,15.5,18.0,364.0,Europe,A,1
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8.0,AS7,X,17.7,12.9,15.5,18.0,364.0,Asia,A,1
BENTLEY,CONTINENTAL GT,COMPACT,6.0,12.0,AM8,Z,19.0,11.6,15.7,18.0,364.0,Europe,A,1
AUDI,A8L,FULL-SIZE,6.3,12.0,AS8,Z,18.7,11.5,15.5,18.0,363.0,Europe,A,1
JEEP,GRAND CHEROKEE SRT 4X4 (MDS),SUV - STANDARD,6.4,8.0,A8,Z,18.5,12.6,15.8,18.0,363.0,America,A,1
MERCEDES-BENZ,GL 63 AMG,SUV - STANDARD,5.5,8.0,AS7,Z,17.7,13.4,15.8,18.0,363.0,Europe,A,1
DODGE,VIPER SRT COUPE,TWO-SEATER,8.4,10.0,M6,Z,19.4,11.3,15.8,18.0,363.0,America,M,0
MERCEDES-BENZ,AMG GLE 63 S COUPE 4MATIC,SUV - STANDARD,5.5,8.0,AS7,Z,17.2,12.8,15.2,19.0,363.0,Europe,A,1
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,5.5,8.0,AS7,Z,17.3,13.5,15.6,18.0,363.0,Europe,A,1
MERCEDES-BENZ,AMG GLE 63 S 4MATIC COUPE,SUV - STANDARD,5.5,8.0,AS7,Z,17.2,12.8,15.2,19.0,363.0,Europe,A,1
DODGE,DURANGO AWD SRT,SUV - STANDARD,6.4,8.0,A8,Z,18.3,12.2,15.6,18.0,363.0,America,A,1
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,E,25.3,19.3,22.6,12.0,362.0,America,A,1
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,E,25.3,19.3,22.6,12.0,362.0,America,A,1
GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,E,25.3,19.3,22.6,12.0,362.0,America,A,1
GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,E,25.3,19.3,22.6,12.0,362.0,America,A,1
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18.0,362.0,Europe,M,0
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18.0,362.0,Europe,M,0
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18.0,362.0,Europe,M,0
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.7,12.7,15.4,18.0,362.0,America,A,1
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8.0,AS7,X,17.5,12.9,15.4,18.0,362.0,Asia,A,1
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8.0,AS7,X,17.5,12.8,15.4,18.0,362.0,Asia,A,1
LAMBORGHINI,GALLARDO COUPE,TWO-SEATER,5.2,10.0,A6,Z,18.0,12.8,15.7,18.0,361.0,Europe,A,1
MERCEDES-BENZ,SLS AMG GT COUPE,TWO-SEATER,6.2,8.0,AS7,Z,18.2,12.6,15.7,18.0,361.0,Europe,A,1
MERCEDES-BENZ,SLS AMG ROADSTER,TWO-SEATER,6.2,8.0,AS7,Z,18.2,12.6,15.7,18.0,361.0,Europe,A,1
MERCEDES-BENZ,AMG S 65,FULL-SIZE,6.0,12.0,AS7,Z,18.5,11.8,15.5,18.0,361.0,Europe,A,1
RAM,1500 4X4,PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.5,12.7,15.4,18.0,361.0,America,A,1
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8.0,AS10,Z,18.8,11.3,15.4,18.0,361.0,America,A,1
FORD,E150 VAN FFV,VAN - CARGO,5.4,8.0,A4,E,24.9,19.6,22.5,13.0,360.0,America,A,1
BENTLEY,CONTINENTAL GT,COMPACT,6.0,12.0,AS8,Z,18.9,11.2,15.4,18.0,360.0,Europe,A,1
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.6,15.2,19.0,360.0,Europe,A,1
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,17.3,13.0,15.4,18.0,360.0,Asia,A,1
MASERATI,LEVANTE GTS,SUV - STANDARD,3.8,8.0,AS8,Z,17.9,12.9,15.3,18.0,360.0,Europe,A,1
MASERATI,LEVANTE TROFEO,SUV - STANDARD,3.8,8.0,AS8,Z,17.9,12.9,15.3,18.0,360.0,Europe,A,1
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8.0,AS7,Z,17.8,12.3,15.3,18.0,360.0,America,A,1
MASERATI,LEVANTE GTS,SUV - STANDARD,3.8,8.0,AS8,Z,17.3,12.9,15.3,18.0,360.0,Europe,A,1
MASERATI,LEVANTE TROFEO,SUV - STANDARD,3.8,8.0,AS8,Z,17.3,12.9,15.3,18.0,360.0,Europe,A,1
ASTON MARTIN,DB9,MINICOMPACT,5.9,12.0,A6,Z,18.0,12.6,15.6,18.0,359.0,Europe,A,1
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12.0,A6,Z,18.0,12.6,15.6,18.0,359.0,Europe,A,1
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12.0,A6,Z,18.0,12.6,15.6,18.0,359.0,Europe,A,1
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8.0,AS7,Z,17.6,13.1,15.6,18.0,359.0,Europe,A,1
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8.0,A5,X,17.9,12.8,15.6,18.0,359.0,Asia,A,1
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,A8,Z,18.7,11.8,15.6,18.0,359.0,Europe,A,1
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8.0,AS7,Z,17.5,13.2,15.6,18.0,359.0,Europe,A,1
MERCEDES-BENZ,ML 63 AMG 4MATIC,SUV - STANDARD,5.5,8.0,AS7,Z,17.3,13.5,15.6,18.0,359.0,Europe,A,1
MERCEDES-BENZ,SLS AMG GT COUPE,TWO-SEATER,6.2,8.0,AM7,Z,18.1,12.6,15.6,18.0,359.0,Europe,A,1
MERCEDES-BENZ,SLS AMG GT ROADSTER,TWO-SEATER,6.2,8.0,AM7,Z,18.1,12.6,15.6,18.0,359.0,Europe,A,1
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,AS8,Z,18.7,11.8,15.6,18.0,359.0,Europe,A,1
MERCEDES-BENZ,MAYBACH S 600,FULL-SIZE,6.0,12.0,AS7,Z,18.2,11.7,15.3,18.0,359.0,Europe,A,1
MERCEDES-BENZ,MAYBACH S 600,FULL-SIZE,6.0,12.0,AS7,Z,18.2,11.0,15.0,19.0,359.0,Europe,A,1
PORSCHE,CAYENNE TURBO S,SUV - STANDARD,4.8,8.0,A8,Z,18.0,11.9,15.2,19.0,358.0,Europe,A,1
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.6,15.2,19.0,358.0,Europe,A,1
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,17.2,12.9,15.3,18.0,358.0,Asia,A,1
DODGE,CHALLENGER SRT HELLCAT WIDEBODY,MID-SIZE,6.2,8.0,A8,Z,18.6,11.2,15.3,18.0,358.0,America,A,1
CHEVROLET,CAMARO Z/28,COMPACT,6.2,8.0,M6,Z,18.1,12.3,15.5,18.0,357.0,America,M,0
MERCEDES-BENZ,S 65 AMG,FULL-SIZE,6.0,12.0,AS7,Z,18.5,11.8,15.5,18.0,357.0,Europe,A,1
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.4,15.1,19.0,357.0,Europe,A,1
MERCEDES-BENZ,AMG GLE 63 S 4MATIC COUPE,SUV - STANDARD,5.5,8.0,A7,Z,17.2,12.8,15.2,19.0,357.0,Europe,A,1
MERCEDES-BENZ,AMG GLE 63 S 4MATIC COUPE,SUV - STANDARD,4.7,8.0,A7,Z,17.2,12.8,15.2,19.0,357.0,Europe,A,1
CHEVROLET,SILVERADO 4WD CUSTOM TRAIL BOSS,PICKUP TRUCK - STANDARD,6.2,8.0,A10,Z,16.8,13.3,15.2,19.0,357.0,America,A,1
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12.0,AS8,Z,18.8,11.5,15.5,18.0,356.0,Europe,A,1
BMW,760LI,FULL-SIZE,6.0,12.0,A8,Z,18.7,11.5,15.5,18.0,356.0,Europe,A,1
MERCEDES-BENZ,ML 63 AMG 4MATIC,SUV - STANDARD,5.5,8.0,AS7,Z,17.2,13.5,15.5,18.0,356.0,Europe,A,1
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,17.6,12.9,15.5,18.0,356.0,Asia,A,1
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18.0,356.0,Europe,M,0
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18.0,356.0,Europe,M,0
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18.0,356.0,Europe,M,0
BMW,760LI SEDAN,FULL-SIZE,6.0,12.0,AS8,Z,18.7,11.6,15.5,18.0,356.0,Europe,A,1
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6.0,AS6,X,16.8,13.2,15.2,19.0,356.0,America,A,1
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19.0,356.0,Europe,A,1
LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19.0,356.0,Europe,A,1
MERCEDES-BENZ,AMG S 65,FULL-SIZE,6.0,12.0,A7,Z,18.6,10.9,15.1,19.0,356.0,Europe,A,1
MERCEDES-BENZ,AMG S 65 COUPE,COMPACT,6.0,12.0,AS7,Z,18.0,11.3,15.0,19.0,355.0,Europe,A,1
BMW,M760I XDRIVE,FULL-SIZE,6.6,12.0,AS8,Z,17.7,11.9,15.1,19.0,355.0,Europe,A,1
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8.0,AS7,Z,17.4,12.2,15.1,19.0,355.0,America,A,1
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.4,15.1,19.0,355.0,Europe,A,1
MERCEDES-BENZ,MAYBACH S 650,FULL-SIZE,6.0,12.0,A9,Z,18.4,11.1,15.1,19.0,355.0,Europe,A,1
BMW,M760LI XDRIVE,FULL-SIZE,6.6,12.0,AS8,Z,17.7,11.9,15.1,19.0,355.0,Europe,A,1
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8.0,AS10,Z,18.3,11.2,15.1,19.0,355.0,America,A,1
FORD,T-150 WAGON,VAN - PASSENGER,3.7,6.0,AS6,X,16.9,13.1,15.2,19.0,355.0,America,A,1
MERCEDES-BENZ,GLS 550 4MATIC,SUV - STANDARD,4.7,8.0,A9,Z,17.2,12.6,15.1,19.0,355.0,Europe,A,1
MERCEDES-BENZ,MAYBACH S 650,FULL-SIZE,6.0,12.0,A7,Z,18.4,11.1,15.1,19.0,355.0,Europe,A,1
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.2,15.4,18.0,354.0,Europe,M,0
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.2,15.4,18.0,354.0,Europe,M,0
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8.0,A6,E,25.7,17.8,22.1,13.0,354.0,America,A,1
GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8.0,A6,E,25.7,17.8,22.1,13.0,354.0,America,A,1
LAND ROVER,RANGE ROVER LWB V8 5.0 SC,SUV - STANDARD,5.0,8.0,AS8,Z,18.0,12.2,15.4,18.0,354.0,Europe,A,1
LAND ROVER,RANGE ROVER V8 5.0 SC,SUV - STANDARD,5.0,8.0,AS8,Z,18.0,12.2,15.4,18.0,354.0,Europe,A,1
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.6,12.7,15.4,18.0,354.0,America,A,1
BENTLEY,CONTINENTAL GT,COMPACT,6.0,12.0,AS8,Z,18.9,11.2,15.4,18.0,354.0,Europe,A,1
MERCEDES-BENZ,C 63 AMG COUPE,SUBCOMPACT,6.2,8.0,AS7,Z,17.9,12.3,15.4,18.0,354.0,Europe,A,1
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.7,12.7,15.4,18.0,354.0,America,A,1
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8.0,AS7,Z,17.4,12.2,15.1,19.0,354.0,America,A,1
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6.0,AS6,X,16.7,13.0,15.1,19.0,354.0,America,A,1
FORD,T-150 WAGON,VAN - PASSENGER,3.7,6.0,AS6,X,16.8,13.1,15.1,19.0,354.0,America,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8.0,AS6,X,16.8,13.1,14.9,19.0,354.0,Asia,A,1
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8.0,AS6,Z,17.8,11.6,15.0,19.0,354.0,Europe,A,1
BMW,M760I XDRIVE SEDAN,FULL-SIZE,6.6,12.0,AS8,Z,17.8,11.9,15.1,19.0,354.0,Europe,A,1
CHEVROLET,SILVERADO 4WD CUSTOM TRAIL BOSS,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,16.7,13.1,15.1,19.0,354.0,America,A,1
GMC,SIERRA 4WD AT4,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,16.7,13.1,15.1,19.0,354.0,America,A,1
LAND ROVER,RANGE ROVER SVAUTOBIOGRAPHY DYNAMIC,SUV - STANDARD,5.0,8.0,AS8,Z,17.1,12.6,15.1,19.0,354.0,Europe,A,1
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8.0,M6,Z,18.1,11.4,15.1,19.0,353.0,America,M,0
MERCEDES-BENZ,AMG GLC 43 4MATIC COUPE,SUV - SMALL,3.0,6.0,A9,Z,17.4,11.1,14.6,19.0,353.0,Europe,A,1
BENTLEY,FLYING SPUR,MID-SIZE,4.0,8.0,AS8,Z,18.8,10.7,15.1,19.0,353.0,Europe,A,1
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.7,15.3,18.0,352.0,Europe,A,1
MERCEDES-BENZ,C 63 AMG COUPE,SUBCOMPACT,6.2,8.0,AS7,Z,17.9,12.2,15.3,18.0,352.0,Europe,A,1
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8.0,M6,Z,18.1,11.4,15.1,19.0,352.0,America,M,0
PORSCHE,911 GT3,TWO-SEATER,4.0,6.0,M6,Z,18.0,11.5,15.1,19.0,352.0,Europe,M,0
DODGE,CHALLENGER SRT HELLCAT WIDEBODY,MID-SIZE,6.2,8.0,M6,Z,18.1,11.4,15.1,19.0,352.0,America,M,0
FORD,T-150 WAGON FFV 4WD,VAN - PASSENGER,3.5,6.0,AS10,X,16.7,12.8,15.0,19.0,352.0,America,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8.0,AS6,X,16.9,12.9,15.1,19.0,351.0,Asia,A,1
FORD,E150 VAN FFV,VAN - CARGO,4.6,8.0,A4,E,24.1,19.2,21.9,13.0,350.0,America,A,1
MERCEDES-BENZ,GL 450 4MATIC,SUV - STANDARD,4.7,8.0,AS7,Z,17.1,12.8,15.2,19.0,350.0,Europe,A,1
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.6,15.2,19.0,350.0,Europe,A,1
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,17.2,12.8,15.2,19.0,350.0,Asia,A,1
MERCEDES-BENZ,S 600,FULL-SIZE,6.0,12.0,AS7,Z,17.5,10.8,14.5,19.0,350.0,Europe,A,1
LAMBORGHINI,HURACAN SPYDER AWD,TWO-SEATER,5.2,10.0,AM7,Z,17.2,12.3,15.0,19.0,350.0,Europe,A,1
CHEVROLET,SILVERADO 4WD TRAIL BOSS,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,16.5,13.0,14.9,19.0,350.0,America,A,1
PORSCHE,911 SPEEDSTER,TWO-SEATER,4.0,6.0,M6,Z,17.4,12.4,15.1,19.0,350.0,Europe,M,0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,16.6,13.0,15.0,19.0,350.0,America,A,1
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8.0,M6,Z,17.2,12.0,14.9,19.0,349.0,America,M,0
MERCEDES-BENZ,AMG S 65,FULL-SIZE,6.0,12.0,AS7,Z,17.6,10.9,14.6,19.0,349.0,Europe,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8.0,AS6,X,16.8,12.6,14.9,19.0,349.0,Asia,A,1
LAMBORGHINI,HURACAN AWD,TWO-SEATER,5.2,10.0,AM7,Z,17.2,12.2,15.0,19.0,349.0,Europe,A,1
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8.0,M6,Z,17.2,12.0,14.8,19.0,349.0,America,M,0
CHEVROLET,SILVERADO 4WD CUSTOM TRAIL BOSS,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,16.3,12.9,14.8,19.0,349.0,America,A,1
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.1,12.0,14.8,19.0,348.0,America,A,1
MERCEDES-BENZ,AMG S 65 CABRIOLET,COMPACT,6.0,12.0,AS7,Z,17.1,11.0,14.3,20.0,348.0,Europe,A,1
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8.0,M6,Z,17.1,12.0,14.8,19.0,348.0,America,M,0
AUDI,R8,TWO-SEATER,5.2,10.0,A7,Z,18.2,10.6,14.8,19.0,347.0,Europe,A,1
AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,A7,Z,18.2,10.6,14.8,19.0,347.0,Europe,A,1
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6.0,A4,X,17.1,12.7,15.1,19.0,347.0,America,A,1
GMC,SAVANA 1500 CARGO,VAN - CARGO,4.3,6.0,A4,X,17.1,12.7,15.1,19.0,347.0,America,A,1
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19.0,347.0,Europe,A,1
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19.0,347.0,Europe,A,1
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.4,15.1,19.0,347.0,Europe,A,1
MERCEDES-BENZ,C 63 AMG,COMPACT,6.2,8.0,AS7,Z,17.7,11.9,15.1,19.0,347.0,Europe,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8.0,AS6,X,16.9,12.8,15.1,19.0,347.0,Asia,A,1
AUDI,R8,TWO-SEATER,5.2,10.0,AM7,Z,18.2,10.6,14.8,19.0,347.0,Europe,A,1
AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,AM7,Z,18.2,10.6,14.8,19.0,347.0,Europe,A,1
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8.0,M6,Z,18.1,11.4,15.1,19.0,347.0,America,M,0
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19.0,347.0,Europe,A,1
LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19.0,347.0,Europe,A,1
